"","Locality","Country","State/Province","County","Latitude","Longitude"
"1","Palen Dunes","United States","California","Riverside",32.78306,-114.79639
"3","Irvine, San Joaquin fresh Water Marsh Reserve","United States","California","None",33.65833,117.85833
"6","1.4 km SSE Barnes Gap Sideling Hill Barrens","United States","Pennsylvania","Fulton",39.73277,78.34694
"8","Organ Pipe Cactus National Monument, Alamo Wash","United States","Arizona","Pima",32.06907,-112.71248
"12","5.4 mi NW of Ocotillo on Rt S2","United States","California","Imperial",32.79381,-116.05899
"15","4 mi NW of Ocotillo Wells","United States","California","Imperial",32.75494,-116.05288
"21","Glacier National Park, 10 mi W of Babb","United States","Montana","Glacier",48.80602,-113.62135
"24","San Ysidro, T18S R2W Sec 36","United States","California","San Diego",32.55816,-117.03515
"27","Lochiel","United States","Arizona","Santa Cruz",31.33555,-110.62388
"28","0.8 km SW Bardane","United States","West Virginia","Jefferson",39.35478,77.87354
"29","Savannah","United States","New York","Wayne",43.075,76.76
"31","12 mi W of Roma","United States","Texas","Starr",26.40524,-99.2005
"32","Cherry Hill","United States","New Jersey","Camden",39.93472,7.8375
"36","Pilot Knob Mesa, T16S R20E Sec 23","United States","California","Imperial",32.75815,-114.83448
"38","2 mi N of Lochiel","United States","Arizona","Santa Cruz",31.35544,-110.64728
"40","Near Signal Mountain","United States","California","Imperial",32.67882,-115.62736
"46","Pittsburhg, Nine Mile Run, Duck Hollow","United States","Pennsylvania","Allegheny",40.41722,79.91583
"48","4.7 km SSW Galeton","United States","Pennsylvania","Potter",41.69167,77.65472
"51","Harshaw","United States","Arizona","Santa Cruz",31.46732,-110.70702
"56","Organ Pipe Cactus National Monument","United States","Arizona","Pima",32.04167,-112.87472
"58","4 km NW Sweet Springs, Salty Mountain Preserve","United States","West Virginia","Monroe",37.39,80.71
"59","Ocotillo, T16S R9E S18","United States","California","Imperial",32.7796,-116.09125
"60","4.5 mi E of Glacier, North Fork of Nooksack River","United States","Washington","Whatcom",48.90739,-121.77741
"61","4 mi WSW of Edenton","United States","North Carolina","Chowan",36.0225,36.0225
"63","Falcon State Park","United States","Texas","Starr",26.57972,-99.1425
"65","Forward Township","United States","Pennsylvania","Allegheny",40.20667,79.85778
"70","Lake Crescent","United States","Washington","Clallam",48.05759,-123.7996
"76","15 mi W of Amado","United States","Arizona","Pima",31.108,-111.32
"79","North End Dam, Calipatria","United States","California","Imperial",32.1026,-115.54365
"82","Potrero","United States","California","San Diego",32.3617,-116.3647
"87","Descanso","United States","California","San Diego",32.511,-116.3657
"102","Apalachicola National Forest, 9 km SSW Sumatra","United States","Florida","Franklin",29.57,85.01
"103","Jacumba","United States","California","San Diego",32.6175,-116.18889
"105","Nolichucky Creek, 1.5 km SW Garber","United States","Tennessee","Washington",36.20833,82.47611
"107","Indian Pass Wilderness","United States","California","Imperial",33.08083,-114.77444
